filename,class,xmin,ymin,xmax,ymax,trackid
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,boat,2501,1537,2528,1566,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,2283,2403,2318,2438,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,876,2389,917,2429,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,195,1274,235,1314,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,801,710,843,751,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,1719,582,1760,623,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,2729,510,2764,545,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,2470,128,2510,169,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-05.jpg,nature,2537,121,2572,157,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,undefObj,831,520,838,531,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,boat,2585,1351,2611,1375,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,1360,2437,1445,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,1447,2394,1528,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,1722,2362,1757,2397,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,1550,2344,1586,2380,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,2289,2308,2324,2343,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,1675,2288,1762,2353,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,1055,2131,1092,2168,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,2919,1863,2955,1899,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,2959,1795,2994,1830,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,274,1049,316,1089,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-06.jpg,nature,2904,194,2939,229,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,boat,2484,1163,2509,1189,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1438,2439,1498,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1047,2431,1082,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1135,2397,1171,2432,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1206,2314,1425,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1404,2292,1439,2327,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1368,2245,1433,2291,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,161,762,203,802,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1760,481,1795,516,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,667,272,709,313,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-07.jpg,nature,1618,90,1656,129,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,undefObj,2586,1477,2593,1483,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,boat,2502,957,2526,984,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,nature,1287,2444,1322,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,nature,1312,2371,1354,2424,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,nature,1358,2360,1393,2395,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,nature,967,2155,1241,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-09.jpg,nature,194,458,236,499,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,boat,2495,735,2518,761,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,1282,2443,1317,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,1349,2399,1384,2434,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,1045,2227,1187,2363,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,1185,2216,1220,2251,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,1040,2114,1076,2149,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,810,2111,1032,2279,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,929,2071,998,2139,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,2589,1411,2628,1447,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-10.jpg,nature,202,212,244,253,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,boat,2485,519,2512,551,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,1001,2399,1037,2435,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,1188,2369,1294,2462,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,1001,2315,1067,2398,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,1038,2274,1073,2309,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,793,2231,828,2266,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,1081,2225,1116,2260,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,775,2006,844,2043,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,869,1957,1034,2149,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,943,1884,983,1919,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,1006,1844,1041,1879,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-11.jpg,nature,796,1169,831,1204,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-12.jpg,boat,2461,382,2491,416,1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-12.jpg,nature,1222,2443,1257,2464,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-12.jpg,nature,878,2235,913,2270,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-12.jpg,nature,926,2200,961,2236,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-12.jpg,nature,853,2147,896,2190,-1
Pipstrel-Virus_Bodensee_2018-02-13_15-41-12.jpg,nature,710,1921,745,1956,-1
